2015-02-04 07:08:31: -- Analysis Started by User
2015-02-04 07:08:32: Changes: 6,797, Conflicts: 0, CopyTime: 0, CopyState: 748/262, Errors: 0, All: 7816
2015-02-04 07:08:32: Left to Right: Copy File: 6797 Copy State: 748 
2015-02-04 07:08:32: -- Analysis Complete. Time 00:00:01, Speed: 6,800 files/s
2015-02-04 07:08:32: 
2015-02-04 07:08:34: == Sync Started by User
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-04'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-04/AppBar-04'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-04/AppBar-04/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-04/AppBar-04/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-04/AppBar-04/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-04/AppBar-04/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-04/AppBar-04/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-04/AppBar-04/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-04/AppBar-04/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-05'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-05/AppBar-05'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-05/AppBar-05/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-05/AppBar-05/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-05/AppBar-05/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-05/AppBar-05/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-05/AppBar-05/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-05/AppBar-05/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-05/AppBar-05/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-01'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-01/Audio-01'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-01/Audio-01/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-01/Audio-01/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-01/Audio-01/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-01/Audio-01/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-01/Audio-01/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-01/Audio-01/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-01/Audio-01/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-02'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-02/Audio-02'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-02/Audio-02/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-02/Audio-02/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-02/Audio-02/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-02/Audio-02/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-02/Audio-02/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-02/Audio-02/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-02/Audio-02/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-03'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-03/Audio-03'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-03/Audio-03/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-03/Audio-03/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-03/Audio-03/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-03/Audio-03/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-03/Audio-03/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-03/Audio-03/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Audio/Audio-03/Audio-03/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-01'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-01/Botao-01'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-01/Botao-01/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-01/Botao-01/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-01/Botao-01/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-01/Botao-01/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-01/Botao-01/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-01/Botao-01/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-01/Botao-01/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-02'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-02/Botao-02'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-02/Botao-02/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-02/Botao-02/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-02/Botao-02/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-02/Botao-02/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-02/Botao-02/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-02/Botao-02/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-02/Botao-02/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-03'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-03/Botao-03'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-03/Botao-03/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-03/Botao-03/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-03/Botao-03/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-03/Botao-03/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-03/Botao-03/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-03/Botao-03/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-03/Botao-03/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/Assets/Tiles'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/Bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/Bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/Bin/Debug/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/Bin/Debug/Assets/Tiles'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/Bin/Debug/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-04/Botao-04/Resources'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-05'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-05/Botao-05'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-05/Botao-05/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-05/Botao-05/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-05/Botao-05/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-05/Botao-05/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-05/Botao-05/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-05/Botao-05/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-05/Botao-05/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-06'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-06/Botao-06'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-06/Botao-06/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-06/Botao-06/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-06/Botao-06/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-06/Botao-06/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-06/Botao-06/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-06/Botao-06/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-06/Botao-06/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-07'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-07/Botao-07'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-07/Botao-07/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-07/Botao-07/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-07/Botao-07/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-07/Botao-07/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-07/Botao-07/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-07/Botao-07/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-07/Botao-07/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-08'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-08/Botao-08'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-08/Botao-08/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-08/Botao-08/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-08/Botao-08/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-08/Botao-08/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-08/Botao-08/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-08/Botao-08/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/Botao-08/Botao-08/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton/Assets/Tiles'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton/Bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton/Bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton/Bin/Debug/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton/Bin/Debug/Assets/Tiles'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton/Bin/Debug/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Botoes/CodeLab/Roundbutton/Roundbutton/obj/Debug'
