2015-02-04 06:53:36: -- Analysis Started by User
2015-02-04 06:53:37: Changes: 7,546, Conflicts: 0, CopyTime: 0, CopyState: 0/259, Errors: 0, All: 7812
2015-02-04 06:53:37: Left to Right: Delete File: 7546 
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Assets/WideLogo.scale-240.png'
2015-02-04 06:53:39: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Assets'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug/App.xbf'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug/AppBar-01.build.appxrecipe'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug/AppBar-01.exe'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug/AppBar-01.pdb'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug/AppBar-01.xr.xml'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug/AppxManifest.xml'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug/MainPage.xbf'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug/resources.pri'
2015-02-04 06:53:39: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug'
2015-02-04 06:53:39: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/MainPage.xaml'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/MainPage.xaml.cs'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/App.g.cs'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/App.g.i.cs'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/App.xaml'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/App.xbf'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/AppBar-01.csproj.FileListAbsolute.txt'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/AppBar-01.exe'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/AppBar-01.pdb'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/AppBar-01.xr.xml'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/DesignTimeResolveAssemblyReferencesInput.cache'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/intermediatexaml/AppBar-01.exe'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/intermediatexaml/AppBar-01.pdb'
2015-02-04 06:53:39: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/intermediatexaml'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/layout.resfiles'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/layout.resfiles.intermediate'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/MainPage.g.cs'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/MainPage.g.i.cs'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/MainPage.xaml'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/MainPage.xbf'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/MultipleQualifiersPerDimensionFound.txt'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/pri.resfiles'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/pri.resfiles.intermediate'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/priconfig.xml'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/priconfig.xml.intermediate'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/ProjectArchitectures.txt'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/qualifiers.txt'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/qualifiers.txt.intermediate'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/resources.resfiles'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/resources.resfiles.intermediate'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/TemporaryGeneratedFile_036C0B5B-1481-4323-8D20-8F5ADCB23D92.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/TemporaryGeneratedFile_5937a670-0e60-4077-877b-f7221da3dda1.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/TemporaryGeneratedFile_E7A71F73-0F8D-4B9B-B56E-8E70B10BC5D3.cs'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/TempPE'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/XamlSaveStateFile.xml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/XamlTypeInfo.g.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/XamlTypeInfo.g.cs.backup'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Package.appxmanifest'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Properties/AssemblyInfo.cs'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Properties'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01.sln'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01.v12.suo'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/App.xaml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/App.xaml.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/AppBar-02.csproj'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Assets/Logo.scale-240.png'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Assets/SmallLogo.scale-240.png'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Assets/SplashScreen.scale-240.png'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Assets/Square71x71Logo.scale-240.png'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Assets/StoreLogo.scale-240.png'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Assets/WideLogo.scale-240.png'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Assets'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug/App.xbf'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug/AppBar-02.build.appxrecipe'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug/AppBar-02.exe'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug/AppBar-02.pdb'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug/AppBar-02.xr.xml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug/AppxManifest.xml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug/MainPage.xbf'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug/resources.pri'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/MainPage.xaml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/MainPage.xaml.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/App.g.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/App.g.i.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/App.xaml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/App.xbf'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/AppBar-02.csproj.FileListAbsolute.txt'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/AppBar-02.exe'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/AppBar-02.pdb'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/AppBar-02.xr.xml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/DesignTimeResolveAssemblyReferencesInput.cache'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/intermediatexaml/AppBar-02.exe'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/intermediatexaml/AppBar-02.pdb'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/intermediatexaml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/layout.resfiles'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/layout.resfiles.intermediate'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/MainPage.g.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/MainPage.g.i.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/MainPage.xaml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/MainPage.xbf'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/MultipleQualifiersPerDimensionFound.txt'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/pri.resfiles'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/pri.resfiles.intermediate'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/priconfig.xml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/priconfig.xml.intermediate'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/ProjectArchitectures.txt'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/qualifiers.txt'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/qualifiers.txt.intermediate'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/resources.resfiles'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/resources.resfiles.intermediate'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/TemporaryGeneratedFile_036C0B5B-1481-4323-8D20-8F5ADCB23D92.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/TemporaryGeneratedFile_5937a670-0e60-4077-877b-f7221da3dda1.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/TemporaryGeneratedFile_E7A71F73-0F8D-4B9B-B56E-8E70B10BC5D3.cs'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/TempPE'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/XamlSaveStateFile.xml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/XamlTypeInfo.g.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug/XamlTypeInfo.g.cs.backup'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj/Debug'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/obj'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Package.appxmanifest'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Properties/AssemblyInfo.cs'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Properties'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02.sln'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02.v12.suo'
2015-02-04 06:53:40: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/App.xaml'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/App.xaml.cs'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/AppBar-03.csproj'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/Assets/Logo.scale-240.png'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/Assets/SmallLogo.scale-240.png'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/Assets/SplashScreen.scale-240.png'
2015-02-04 06:53:40: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-03/AppBar-03/Assets/Square71x71Logo.scale-240.png'
